Total Kasus;Aceh;Bali;Banten;Babel;Bengkulu;DIY;Jakarta;Jambi;Jabar;Jateng;Jatim;Kalbar;Kaltim;Kalteng;Kalsel;Kaltara;Kep Riau;NTB;Sumsel;Sumbar;Sulut;Sumut;Sultra;Sulsel;Sulteng;Lampung;Riau;Malut;Maluku;Papbar;Papua;Sulbar;NTT;Gorontalo;?
18-Mar;0;1;17;0;0;3;158;0;24;8;8;2;1;0;0;0;1;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0
19-Mar;0;1;27;0;0;5;210;0;26;12;9;2;3;0;0;0;3;0;0;0;1;2;3;2;0;1;2;0;0;0;0;0;0;0;0
20-Mar;0;4;37;0;0;4;215;0;41;12;15;2;10;2;0;0;4;0;0;0;1;2;3;2;0;1;1;0;0;0;0;0;0;0;13
21-Mar;0;3;43;0;0;5;267;0;55;14;26;2;9;2;0;0;4;0;0;0;1;2;3;2;0;1;1;0;0;0;0;0;0;0;10
22-Mar;0;3;47;0;0;5;307;0;59;15;41;2;9;2;1;0;4;0;0;0;1;2;3;2;0;1;1;0;1;0;2;0;0;0;6
23-Mar;0;6;56;0;0;5;353;1;59;15;41;2;11;2;1;0;5;0;0;0;1;2;3;2;0;1;1;1;1;0;2;0;0;0;8
24-Mar;0;6;65;0;0;6;424;1;60;19;51;3;11;3;1;0;5;1;1;0;2;7;3;4;0;1;2;1;1;0;3;0;0;0;5
25-Mar;0;9;67;0;0;17;463;1;73;38;51;3;11;3;2;0;5;2;1;0;2;7;3;13;0;1;1;1;1;0;3;0;0;0;12
26-Mar;1;9;67;0;0;16;515;1;78;40;59;3;11;6;1;0;5;2;1;3;2;8;3;27;1;3;2;1;1;0;7;0;0;0;20
27-Mar;4;9;84;0;0;22;598;1;98;43;66;3;11;6;1;0;5;2;1;5;2;8;3;29;1;4;1;1;1;2;7;0;0;0;28
28-Mar;4;9;103;0;0;22;627;1;119;55;77;3;17;7;1;2;5;2;2;5;2;8;3;33;2;4;1;1;1;2;7;0;0;0;30
29-Mar;5;10;106;0;0;22;675;1;149;63;90;8;17;7;1;2;5;2;2;5;2;8;3;47;2;4;2;1;1;2;9;1;0;0;33
30-Mar;5;19;128;1;0;18;698;2;180;81;91;9;17;7;5;2;6;2;2;8;2;13;3;50;3;8;3;1;1;2;9;1;0;0;37
31-Mar;5;19;142;2;1;23;747;2;198;93;93;9;20;9;8;2;7;4;5;8;2;19;3;50;3;8;3;1;1;2;10;1;0;0;28
1-Apr;5;25;152;2;1;28;808;2;220;104;104;10;21;9;8;2;7;6;5;8;3;22;3;66;2;8;3;1;1;2;10;1;0;0;28
2-Apr;5;25;164;2;1;27;897;2;223;104;104;10;21;9;8;2;7;6;11;8;3;22;3;66;2;8;7;1;1;2;10;1;0;0;28
3-Apr;5;27;170;2;2;27;971;2;225;114;155;10;22;12;8;8;8;7;12;8;3;22;6;82;4;12;10;1;1;2;16;1;0;0;31
4-Apr;5;32;173;2;2;33;1.028;2;247;120;152;10;24;11;8;8;8;7;12;8;3;25;5;82;4;11;10;1;1;2;18;1;0;0;37
5-Apr;5;35;177;2;2;34;1.124;2;252;120;188;10;30;11;16;8;9;7;16;8;3;25;6;83;4;11;11;1;1;2;26;2;0;0;42
6-Apr;5;43;187;2;2;40;1.232;2;263;132;189;12;31;20;18;15;9;10;16;18;5;26;7;113;4;12;12;1;1;2;26;2;0;0;34
7-Apr;5;43;194;2;2;41;1.369;2;343;133;194;10;31;20;18;15;9;10;16;18;8;26;7;127;5;12;12;1;1;2;26;2;0;0;34
8-Apr;6;49;212;2;2;41;1.470;2;365;140;196;10;32;20;22;16;9;10;16;18;8;59;11;127;5;15;12;2;3;2;38;2;0;0;34
9-Apr;6;63;218;3;4;41;1.706;2;376;144;223;10;32;20;22;16;22;16;17;18;8;59;15;138;5;15;12;2;3;2;38;2;1;0;34
10-Apr;5;75;243;3;4;41;1.753;2;388;144;256;10;35;24;29;16;21;25;21;31;13;59;15;167;14;20;13;2;3;2;38;3;1;1;35
11-Apr;5;79;279;4;4;41;1.948;4;421;144;267;10;35;24;29;16;21;27;21;31;13;59;16;178;19;20;16;2;3;2;62;5;1;1;35
12-Apr;5;81;281;4;4;41;2.044;4;450;200;386;13;35;24;34;16;21;37;21;44;17;65;16;222;19;20;16;2;11;3;63;5;1;1;35
13-Apr;5;86;285;4;4;57;2.186;4;540;203;440;13;35;25;34;16;21;37;18;45;17;67;16;223;19;21;20;2;11;2;68;5;1;1;26
14-Apr;5;92;280;4;4;62;2.335;5;530;278;475;13;35;25;37;16;26;37;19;48;17;72;16;231;19;21;20;2;11;2;68;5;1;1;27
15-Apr;5;98;281;5;4;62;2.474;6;559;292;499;13;35;33;49;20;32;37;22;55;18;78;24;242;22;20;20;4;14;2;75;7;1;1;27
16-Apr;5;113;297;6;4;62;2.670;7;570;300;514;21;44;34;59;28;38;45;37;55;18;79;26;271;22;25;24;4;14;5;80;7;1;4;27
17-Apr;5;124;311;6;4;64;2.815;8;632;304;522;21;44;35;74;47;58;51;54;62;18;79;27;332;24;26;26;4;14;5;89;7;1;4;26
18-Apr;6;131;321;6;4;67;2.924;8;641;329;555;21;54;41;92;50;79;55;84;71;20;79;28;343;24;26;30;4;17;5;95;7;1;4;26
19-Apr;7;135;324;7;4;67;3.032;8;696;349;590;21;59;46;96;69;79;61;89;72;20;81;37;370;27;26;30;4;17;7;107;7;1;4;26
20-Apr;7;140;341;7;4;69;3.097;8;747;351;590;21;63;60;96;74;79;72;89;74;20;83;37;370;27;26;34;4;17;7;107;7;1;4;27
21-Apr;7;150;341;8;8;72;3.260;13;756;449;603;27;68;67;98;77;81;93;89;76;20;84;37;374;27;27;35;4;17;7;118;7;1;7;27
22-Apr;7;152;337;8;8;75;3.383;13;762;479;638;31;69;82;107;77;81;108;89;81;20;93;37;387;29;27;35;12;17;8;123;8;1;7;27
